kmer	1	175.29	1396001411
kmerctl	1	175.18	1396001411
mini_k8_c0.63	1	122.28	1396001411
mini_k8_c0.63_auto	1	128.74	1396001411
mini_k8_c0.63_g8	1	122.45	1396001411
mini_k8_c0.63_g16	1	124.83	1396001411
mini_k8_c0.63_g64	1	126.24	1396001411
mini_k8_c0.63_g128	1	127.27	1396001411
kmer_g8	1	179.37	1396001411
kmer_g16	1	171.50	1396001411
kmer_g64	1	177.57	1396001411
kmer_g128	1	179.51	1396001411
kmer	2	171.43	1396001411
kmerctl	2	176.89	1396001411
mini_k8_c0.63	2	129.53	1396001411
mini_k8_c0.63_auto	2	125.01	1396001411
mini_k8_c0.63_g8	2	129.28	1396001411
mini_k8_c0.63_g16	2	124.95	1396001411
mini_k8_c0.63_g64	2	131.02	1396001411
mini_k8_c0.63_g128	2	127.77	1396001411
kmer_g8	2	180.01	1396001411
kmer_g16	2	169.53	1396001411
kmer_g64	2	176.25	1396001411
kmer_g128	2	173.51	1396001411
kmer	3	177.29	1396001411
kmerctl	3	172.78	1396001411
mini_k8_c0.63	3	123.69	1396001411
mini_k8_c0.63_auto	3	125.54	1396001411
mini_k8_c0.63_g8	3	123.22	1396001411
mini_k8_c0.63_g16	3	126.10	1396001411
mini_k8_c0.63_g64	3	121.86	1396001411
mini_k8_c0.63_g128	3	127.35	1396001411
kmer_g8	3	171.23	1396001411
kmer_g16	3	169.99	1396001411
kmer_g64	3	168.88	1396001411
kmer_g128	3	171.40	1396001411
