kmer	1	684.00
kmerctl	1	683.15
mini_k8_c0.65	1	622.34
mini_k8_c0.65_noidx	1	693.36
mini_k8_c0.65_auto	1	601.41
kmer	2	703.92
kmerctl	2	711.35
mini_k8_c0.65	2	625.71
mini_k8_c0.65_noidx	2	684.58
mini_k8_c0.65_auto	2	612.06
kmer	3	702.65
kmerctl	3	697.39
mini_k8_c0.65	3	610.82
mini_k8_c0.65_noidx	3	683.16
mini_k8_c0.65_auto	3	618.27
